# 브랜드 → 소분류. 업종 이름이 답을 못 주는 자리를 메운다 — 배달 플랫폼은 업종을
# 전자상거래로 등록하므로 '배달' 이라는 업종 이름이 국세청 표에 아예 없다.
#
# **회사명에는 붙이지 않는다.** 소분류 칸이 '-' 인 것이 그것이다. 카카오·애플·구글은
# 여러 업태를 겸해 하나로 정해지지 않는데, 대표 업태를 찍으면 그 브랜드 전체가
# 한꺼번에 틀린다 — '카카오' 가 멜론의 표기였을 때 카카오택시 72곳이 전부 멜론이
# 된 사고가 그것이다(brand-forms.json _howNote, 2026-08-08 운영 실측).
#
# **긴 표기를 빠뜨리지 마라.** '쿠팡' 만 넣고 '쿠팡이츠' 를 안 넣으면 배달이
# 온라인몰로 먹힌다. 빌드가 접두 충돌을 검사한다.
#
# 브랜드	소분류	안 붙이는 이유
1000cc커피	커피
11번가	온라인몰
60계치킨	치킨
79파운야드	커피
7번가피자	패스트푸드
AIG손해보험	손해보험
AJ렌터카	렌터카
AK플라자	백화점
AXA손해보험	손해보험
BBQ	치킨
BHC	치킨
CGV	영화관
CU	편의점
DB손해보험	손해보험
GS25	편의점
GS더프레시	슈퍼마켓
GS칼텍스	주유
G마켓	온라인몰
K2	의류
KB손해보험	손해보험
KFC	패스트푸드
KT	통신
KT엠모바일	통신
LG베스트샵	가전
LG아트센터	공연
LG유플러스	통신
NC백화점	백화점
NOL	숙박예약
S-OIL	주유
SK렌터카	렌터카
SK세븐모바일	통신
SK에너지	주유
SK텔레콤	통신
SR	철도
SSG닷컴	온라인몰
U+유모바일	통신
가마로강정	치킨
가마치통닭	치킨
가배두림	커피
가비양	커피
감성커피	커피
감탄계	치킨
감탄떡볶이	분식
갓튀긴후라이드	치킨
강원교통공사	지하철
강정이기가막혀	치킨
강정판다	치킨
개항로통닭	치킨
갤러리아백화점	백화점
거북이동네	한식
거성치킨	치킨
걸작떡볶이치킨	치킨
겐로쿠우동	일식
겐스빌치킨	치킨
경기교통공사	지하철
경상교통공사	지하철
경아두마리치킨	치킨
경양카츠	일식
경원치킨	치킨
계동치킨	치킨
계짱치킨	치킨
계혁명	치킨
고기싸롱	한식
고래통닭	치킨
고려통닭	치킨
고메스퀘어	양식
고바우통닭	치킨
고봉민김밥	분식
고씨네	일식
곤지곤지	한식
곤지암할매소머리국밥	한식
골프존	골프
곰브라더스	커피
곱떡치떡	분식
곱창고	한식
공만치킨	치킨
공수간	분식
공차	디저트
광주교통공사	지하철
교동닭강정	치킨
교동짬뽕	중식
교보문고	도서
교원파닭	치킨
교촌치킨	치킨
구글	-	여러 업태를 겸해 소분류가 안 정해진다
구글플레이	앱마켓
구도로통닭	치킨
구스토커피	커피
구어스치킨	치킨
국대떡볶이	분식
국민통닭	치킨
국수나무	분식
굽네치킨	치킨
그라찌에	커피
그램치킨	치킨
그리다꿈	커피
그린카	렌터카
금계통닭	치킨
금수복국	한식
